PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
658, 1074021805, -134.4861602783203, 52.98617172241211, -93.1209945678711, -4.286154747009277, -2.600102424621582, 6.048041820526123, 48.99484634399414, 153.8799591064453, 24.233312606811523, 0.491455078125, 0.5283203125, -0.723876953125, 0, 
659, 1074030138, -135.33773803710938, 52.26084518432617, -94.8353500366211, -8.839639663696289, -2.2306432723999023, 12.007739067077637, 56.72654724121094, 157.6667022705078, 24.150236129760742, 0.513427734375, 0.519287109375, -0.724853515625, 0, 
660, 1074038471, -136.02679443359375, 51.521759033203125, -96.3721923828125, -10.482621192932129, -2.1323623657226562, 14.786259651184082, 62.20781326293945, 139.90516662597656, 19.613988876342773, 0.526611328125, 0.5146484375, -0.721923828125, 0, 
661, 1074046804, -136.4002227783203, 50.914634704589844, -97.63837432861328, -6.839301109313965, -1.3541653156280518, 11.001503944396973, 69.31243133544922, 125.97935485839844, 15.608169555664062, 0.543212890625, 0.507568359375, -0.72021484375, 0, 
662, 1074055137, -136.82203674316406, 50.168792724609375, -98.94984436035156, -3.917046546936035, 1.1143133640289307, 8.165535926818848, 70.67106628417969, 130.67697143554688, 11.343779563903809, 0.557373046875, 0.49951171875, -0.7197265625, 0, 
663, 1074063470, -137.20809936523438, 49.460723876953125, -100.24058532714844, -4.701515197753906, 4.675551414489746, 9.433192253112793, 67.89700317382812, 137.60780334472656, 12.188776016235352, 0.567626953125, 0.4921875, -0.720703125, 0, 
664, 1074071803, -137.75645446777344, 48.70323944091797, -101.62532806396484, -6.401484489440918, 7.929627895355225, 10.932872772216797, 59.54475021362305, 137.48532104492188, 18.934154510498047, 0.584716796875, 0.486083984375, -0.71484375, 0, 
665, 1074080136, -138.3181915283203, 48.111446380615234, -103.00973510742188, -6.844563961029053, 6.468273162841797, 11.046839714050293, 53.030277252197266, 133.5614013671875, 31.264036178588867, 0.600830078125, 0.47998046875, -0.708984375, 0, 
666, 1074088469, -139.05935668945312, 47.46147918701172, -104.39030456542969, -8.308770179748535, 5.107182025909424, 12.04185962677002, 33.54176330566406, 128.99893188476562, 32.26566696166992, 0.618408203125, 0.469482421875, -0.7109375, 0, 
667, 1074096802, -139.70248413085938, 46.9173583984375, -105.57323455810547, -8.188579559326172, 1.7782245874404907, 12.392227172851562, 23.4949893951416, 119.1469955444336, 27.249958038330078, 0.63623046875, 0.468994140625, -0.7021484375, 0, 
668, 1074105135, -140.4761962890625, 46.23866653442383, -106.42868041992188, -12.318294525146484, 3.2708914279937744, 16.99784278869629, -18.50682830810547, 104.67790985107422, 2.0119287967681885, 0.64453125, 0.468994140625, -0.69775390625, 0, 
669, 1074113468, -141.04188537597656, 45.800376892089844, -106.88666534423828, -12.12288761138916, 4.689716815948486, 13.397746086120605, -31.594966888427734, 71.45283508300781, -7.1714348793029785, 0.65380859375, 0.47265625, -0.69580078125, 0, 
670, 1074121801, -141.59776306152344, 45.37541198730469, -107.23444366455078, -7.15297794342041, 2.630866527557373, 9.67786979675293, -37.11625289916992, 54.9958610534668, -8.931642532348633, 0.6591796875, 0.47314453125, -0.68896484375, 0, 
671, 1074130134, -142.02130126953125, 45.08977508544922, -107.42103576660156, -7.7040486335754395, 0.20090043544769287, 11.46959400177002, -38.07998275756836, 43.1182746887207, -12.163596153259277, 0.66650390625, 0.480224609375, -0.68359375, 0, 
672, 1074138467, -142.35775756835938, 44.81744384765625, -107.53935241699219, -6.713866710662842, 0.13087934255599976, 10.187102317810059, -30.566360473632812, 28.91138458251953, -11.956693649291992, 0.66748046875, 0.482666015625, -0.68310546875, 0, 
673, 1074146800, -142.57716369628906, 44.677040100097656, -107.5813217163086, -6.015500545501709, 1.3750070333480835, 9.658946990966797, -25.8563175201416, 21.731922149658203, -10.643828392028809, 0.67041015625, 0.486083984375, -0.681640625, 0, 
674, 1074155133, -142.79571533203125, 44.4969482421875, -107.6373519897461, -5.308344841003418, 1.1087380647659302, 9.359220504760742, -21.730337142944336, 17.02239990234375, -9.152408599853516, 0.671875, 0.48828125, -0.67529296875, 0, 
675, 1074163466, -142.93795776367188, 44.40440368652344, -107.65658569335938, -4.703362464904785, 1.3988713026046753, 9.099813461303711, -18.450790405273438, 15.776163101196289, -8.459695816040039, 0.67529296875, 0.4892578125, -0.6767578125, 0, 
